"Wikipage revision ID","label","Wikipage page ID"
"676548425","Pueblito Viejo","46778145"
"661407894","Pulkovsky meridian Municipal Okrug","45688891"
"675428639","Queen Victoria Silver Jubilee Memorial Technical College","46777135"
"","Quintessence (restaurant)",""
"680928651","R7 Motorway (Kosovo)","47780290"
"","RN Shetty Stadium",""
"683686609","Railway Interpretation Center","47986285"
"682611558","Rapla Airfield","47893048"
"671224021","Redland Bay State School Residence","46328515"
"","Redland Museum",""
"679354185","Redstone Solar Thermal Power","46927571"
"","Schloss Regensberg",""
"668351000","Rialto (filmtheater)","45627863"
"","Robert H. Jackson Center","47375466"
"676172280","Robinsons Town Mall Malabon","46670986"
