"id","name","location","age","sex","pic"
"2283","lily&nbsp;","bellevue ne","5","female",""
"2281","ty&nbsp;","burr ridge il","<1","male",""
"2280","duke&nbsp;  dob 1/13/2011","cle elum wa","1","male",""
"2279","chesney&nbsp;adoption pending","denver co","2","male",""
"2278","ben&nbsp;","aurora il","3.5","male",""
"2262","merry&nbsp;","chatom al","2","female",""
"2261","nick- adoption pending!&nbsp;","newnan ga","1.5","male",""
"2258","li'l red&nbsp;","milton pa","2.5","male",""
"2251","cassie&nbsp;aka momma cass","bel air md","3","female",""
"2250","baylee&nbsp;","irmo sc","6.5","male",""
"2229","duke&nbsp;","hanson ma","3","male",""
"2227","early&nbsp;","burr ridge il","1.5","male",""
"2223","bailey&nbsp;","crestview fl","6.5","male",""
"2221","boone&nbsp;","steward il","5","male",""
"2212","sugar/britta&nbsp;retriever mix","san diego ca","2","female",""
"2206","chessie&nbsp;","water valley ms","2","female",""
"2202","bo&nbsp;- cbr/lab mix","bluff city tn","7.5","male",""
"2195","sebastian&nbsp;","portland/hillsboro or","6","male",""
"2169","spider&nbsp;","caro  mi","1","male",""
"2160","justice&nbsp;","caro mi","1.5","female",""
"2156","sadie&nbsp;","exeter ri","10","female",""
"2149","fancy&nbsp;updated 10/8/11","rockmart  ga","8","female",""
"2128","molly&nbsp;","charleston sc","7","female",""
"2108","carla&nbsp;updated","hinsdale il","3","female",""
"2086","goose&nbsp;aka badger","san diego ca","2","male",""
"2058","jake&nbsp;","reno nv","9","male",""
"2036","isabella&nbsp;","baton rouge la","5.5","female",""
"2032","bruiser&nbsp; updated","steward il","2.5","male",""
"2010","chester&nbsp;","tijeras nm","2","male",""
"1955","waylon&nbsp;new pic 12/26/2011","hinsdale il","2","male",""
"1945","xander&nbsp;","houston tx","2.5","male",""
"1909","chirpy&nbsp;video","clinton ut","5","male",""
"1892","daisy&nbsp;","steward il","7","female",""
"1857","dexter&nbsp;videos!","clinton ut","12","male",""
"1849","shadow&nbsp;","austin tx","6","female",""
"1836","hercules&nbsp;","tijeras nm","2","male",""
"1824","bonne&nbsp;","columbus oh","2","female",""
"1752","rumford&nbsp;","steward il","4","male",""
"1673","josie&nbsp;","deltona fl","4.5","female","&nbsp;"
"1667","cobalt&nbsp;","steward il","8","male",""
"1334","andre&nbsp;","water valley ms","6.5","male",""
"1162","avery&nbsp;","water valley ms","2","male",""
"1011","asia&nbsp;","little rock ar","9.5","female",""
"465","brownie&nbsp;(ms)","water valley ms","4","male",""
