"Geburtsdatum","label","Geburtsort"
"1945","Janetta Rebold Benton","http://dbpedia.org/resource/Philadelphia"
"","Janeé Ayers","http://dbpedia.org/resource/Michigan"
"","Janice Miller","http://dbpedia.org/resource/California"
"","Janid","http://dbpedia.org/resource/New_York"
"","Janieta Eyre","http://dbpedia.org/resource/England"
"","Janis Cooke Newman",""
"1985-11-05","Janos Delacruz",""
"","Jared Artaud",""
"","Jared Cohn","http://dbpedia.org/resource/New_York"
"","Jared Morgenstern","http://dbpedia.org/resource/New_York"
"1971-12-09","Jarkko Tontti","http://dbpedia.org/resource/Tampere"
"","Jason Champion","http://dbpedia.org/resource/Cleveland"
"","Jason Nelson (musician)","http://dbpedia.org/resource/Baltimore"
"1980-05-26","Jason Nixon","http://dbpedia.org/resource/Calgary"
"1988-06-29","Jass Bhatia","http://dbpedia.org/resource/Ludhiana"
"1963-05-31","Jassem Ghazbanpour","http://dbpedia.org/resource/Khorramshahr"
"","Jay Deshmukh","http://dbpedia.org/resource/Maharashtra"
