"herminia    mart&iacute;nez amig&oacute;","27","settembre"
"honorato andr&eacute;s zorraquino","23","ottobre"
"hryhorij    khomy&scaron;yn","28","dicembre"
"hryhorij lakota","05","novembre"
"ignazio da    santhi&agrave; belvisotti","22","settembre"
"ignazio falzon","01","luglio"
"ignazio maloyan","11","giugno"
"ilario    januszewski","25","marzo"
"innocenzo guz","06","giuno"
"inocencio    dell'immacolata canoura arnau","09","ottobre"
"isabel calduch rovira","14","aprile"
"isidoro bakanja","15","agosto"
"isidoro di san    giuseppe de loor","06","ottobre"
"ismael    escrihuela esteve","08","settembre"
"ivan merz","10","maggio"
"ivan slezyuk","02","dicembre"
"ivan ziatyk","17","maggio"
"jaime bonet    nadal","15","agosto"
"jaime bordas    piferrer","24","luglio"
"jaime    buch canals","31","luglio"
"jaime ortiz    alzueta","27","luglio"
"jakym ivan    senkyvskyj","28","giuno"
"jarogniew    wojciechowski","24","agosto"
"jerzy kaszyra","18","febbraio"
"joaqu&iacute;n de    alboc&aacute;cer","30","agosto"
"joaqu&iacute;n prats    baltue&ntilde;a","30","luglio"
"joaqu&iacute;n    vilanova camallonga","27","luglio"
"josafat    kocylovskyj","17","novembre"
"josaphat    chichkov","13","novembre"
"jos&eacute; batalla    parram&oacute;n","04","agosto"
"jos&eacute; bonet    nadal","13","agosto"
"jos&eacute;    canet giner","04","ottobre"
"jose caselles    moncho","28","luglio"
"jos&eacute; castell    camps","28","luglio"
"jos&eacute; fenollosa    alcayna","27","settembre"
"jos&eacute; garc&iacute;a m&aacute;s","18","settembre"
"jos&eacute; gim&eacute;nez    l&oacute;pez","09","dicembre"
"jos&eacute; gonz&aacute;lez    huguet","12","ottobre"
"jos&eacute; llos&aacute;    balaguer","07","ottobre"
"jos&eacute; manuel    ferrer jord&aacute;","16","settembre"
"jos&eacute; mar&iacute;a    corb&iacute;n ferrer","27","dicembre"
"jos&eacute; mar&iacute;a    ferr&aacute;ndiz hem&aacute;ndez","24","settembre"
"jos&eacute; maria    l&oacute;pez mora","18","settembre"
"jos&eacute; mar&iacute;a muro    sanmiguel","30","luglio"
"jos&eacute; mar&iacute;a    sanchis momp&oacute;","16","agosto"
"jos&eacute; mar&iacute;a    segura penad&eacute;s","11","settembre"
"jos&eacute; mar&iacute;a    vidal seg&uacute;","26","settembre"
"jos&eacute; mar&iacute;a    zabal blasco","08","dicembre"
"jos&eacute; ot&iacute;n    aquilu&eacute;","30","novembre"
"jos&eacute; perpi&ntilde;ia    n&aacute;cher","29","dicembre"
"jos&eacute; rabasa    bentanachs","04","agosto"
"jos&eacute; ram&oacute;n    ferragud girb&eacute;s","24","settembre"
"jos&eacute; ram&oacute;n    medes ferr&iacute;s","12","novembre"
"jos&eacute; ruiz    bruitola","28","ottobre"
"jos&eacute; tarrats    comaposada","28","settembre"
"jos&eacute; toledo    pellicer","10","agosto"
"josef    freinademetz","28","gennaio"
"josefa de la    purificaci&oacute;n masi&aacute; ferragud","25","ottobre"
"josefa de san    juan ruano garc&iacute;a","08","settembre"
"josefa naval    girbes","24","febbraio"
"josefina    moscard&oacute; montalva","22","settembre"
"josemaria    escriv&aacute; de belaguer","26","giugno"
"joseph-marie    cassant","17","giugno"
"juan bautista    faubel cano","28","agosto"
"juan bautista    ferreres boluda","29","dicembre"
"juan carbonell    moll&aacute;","02","ottobre"
"juan diego    cuauhtlatoatzin","09","dicembre"
"juan gonga    mart&iacute;nez","13","novembre"
"juan martorell    soria","10","agosto"
"juan ventura    solsona","17","settembre"
"juli&aacute;n    rodr&iacute;guez s&aacute;nchez","09","dicembre"
"julio junyer    padern","26","aprile"
"junipero serra","28","agosto"
"justa maiza    goicoechea","24","novembre"
"justo lerma    mart&iacute;nez","18","settembre"
"kamen vitchev","13","novembre"
"kaspar    stanggassinger","26","settembre"
"kateri    tekakwitha","17","aprile"
"klymentij    &scaron;eptyckyj","01","maggio"
"ladislao    batthy&aacute;ny-strattmann","22","gennaio"
"lamberto de    navascu&eacute;s y dejuan","29","luglio"
"laura montoya    upegui","21","ottobre"
"laura vicu&ntilde;a","22","gennaio"
"laurentija leokadija   harasymiv","26","agosto"
"laurino  proa&ntilde;o","23","luglio"
"leonardo    olivera buera","23","ottobre"
"leone inchausti","25","luglio"
"leone    nowakowski","31","ottobre"
"leone wetma&#324;ski","10","ottobre"
"leonid f&euml;dorov","07","marzo"
"leopoldo mandi&#263;","30","luglio"
"liberato weiss    e 2 compagni","03","marzo"
"liduina angela    meneguzzi","01","dicembre"
"lodovico pavoni","01","aprile"
"lorenzo imbert","20","settembre"
"lorenzo maria    di s. francesco saverio salvi","12","giugno"
"lorenzo ruiz","28","settembre"
"lucia khambang","16","dicembre"
"lucio mart&iacute;nez    mancebo","29","luglio"
"ludovico da    casoria palmemied","30","marzo"
"ludovico mzyk","23","febbraio"
"ludovico rocco    gietyngier","30","novembre"
"luigi beltrame    quattrocchi","09","novembre"
"luigi maria    monti","01","ottobre"
"luigi orione","12","marzo"
"luigi    scrosoppi","03","aprile"
"luigi talamoni","20","maggio"
"luigi tezza","26","settembre"
"luigi variara","01","febbraio"
"luigi vittorio    stepinac","10","febbraio"
"luigi    zeffirino moreau","24","maggio"
"luis campos    g&oacute;rriz","28","novembre"
"luis urbano    lanaspa","25","agosto"
"luisa mar&iacute;a    fr&iacute;as ca&ntilde;izares","06","dicembre"
"luisa teresa    de montaignac de chauvance","27","giugno"
